event.time,dataSource.name,message
,KafkaAppLogs," INFO  [2026-04-06 20:20:14,245] [dw-141 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-141 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406202014457169259292179962248472394228318429528289397] [#033[36mCreditLineServiceImpl#033[0;39m]: Fetching permanent credit lines with id: [REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:20:28,685] [dw-78 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-78 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [120595b2-1d05-47de-9d11-713cbf099732] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: Setting shard key to: [REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:57:15,407] [dw-249 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-249 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406205715356368225161411616266828423264475283471644491] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: path=v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT], X-User-Id header=[REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:57:17,133] [dw-249 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-249 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406205717431484256597514339655631813411525118889869973] [#033[36mCreditLineResource#033[0;39m]: Credit lines fetched successfully. Response: PermanentCreditLines(creditLineResponses=[]) "
,KafkaAppLogs," INFO  [2026-04-06 20:57:24,430] [dw-220 - POST /bnpl-tijori/v1/dbutil/creditLine/create] [dw-220 - POST /bnpl-tijori/v1/dbutil/creditLine/create] [39dad1f2-3a9d-4f60-815f-e6a7f86db3c2] [#033[36mCreditLineUtil#033[0;39m]: Fetching credit line for accountId: [REDACTED_ACCOUNT] and lender: DMI "
,KafkaAppLogs," INFO  [2026-04-06 20:57:52,292] [dw-200 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-200 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406205752167695228681536964815466337813386276897213952] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: Setting shard key to: [REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:57:25,802] [dw-180 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-180 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406205725856893213783644583848849952593775539924662182] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: Setting shard key to: [REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:57:43,916] [dw-153 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-153 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406205743581147261824995844236455156216296718756637241] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: path=v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT], X-User-Id header=[REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:50:56,397] [dw-206 - GET /bnpl-tijori/v2/loanacc/[REDACTED_ACCOUNT]/fetch-limits?productCode=FLIPKART_ADVANZ&loanAccState=ACTIVE] [dw-206 - GET /bnpl-tijori/v2/loanacc/[REDACTED_ACCOUNT]/fetch-limits?productCode=FLIPKART_ADVANZ&loanAccState=ACTIVE] [REQ260406205056522715149343376465334721396837752395386443989] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: Setting shard key to: [REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:50:56,401] [dw-215 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-215 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406205056495691887831659188266792319713989231465168236] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: path=v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT], X-User-Id header=[REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:51:02,783] [dw-167 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [dw-167 - GET /bnpl-tijori/v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT]] [REQ260406205102833375478581893553322229778742438136976428856] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: path=v1/dbutil/fetchPermanentLines/[REDACTED_ACCOUNT], X-User-Id header=[REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:08:18,011] [dw-220 - GET /bnpl-tijori/v2/loanacc/[REDACTED_ACCOUNT]/borrower] [dw-220 - GET /bnpl-tijori/v2/loanacc/[REDACTED_ACCOUNT]/borrower] [REQ260406200818592942884818587763347418982925426744989423794] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: Setting shard key to: [REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:57:31,793] [dw-229 - POST /bnpl-tijori/v1/transaction/capture] [dw-229 - POST /bnpl-tijori/v1/transaction/capture] [REQ260406205731761856191863989131262537889717393733386491392] [#033[36mNexusClientImpl#033[0;39m]: Nexus raw response for txnId PZT2604062040OHYNG01: Status: 200 "
,KafkaAppLogs," INFO  [2026-04-06 20:57:25,211] [dw-235 - POST /bnpl-tijori/v2/deviceAuth/fetch/PZT2604062057W9UAD00] [dw-235 - POST /bnpl-tijori/v2/deviceAuth/fetch/PZT2604062057W9UAD00] [REQ260406205725373932296647244248188984575189798879363454483] [#033[36mDeviceAuthInformationResource#033[0;39m]: Fetch DeviceAuthInformation Response - null "
,KafkaAppLogs," INFO  [2026-04-06 20:17:56,606] [dw-247 - GET /bnpl-tijori/v1/borrower/risk-blocked/[REDACTED_ACCOUNT]] [dw-247 - GET /bnpl-tijori/v1/borrower/risk-blocked/[REDACTED_ACCOUNT]] [REQ260406201756691883968995448381739846159752913839988481292] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: path=v1/borrower/risk-blocked/[REDACTED_ACCOUNT], X-User-Id header=[REDACTED_ACCOUNT] "
,KafkaAppLogs,"                categoryId: 55236"
,KafkaAppLogs," INFO  [2026-04-06 20:18:03,416] [dw-234 - POST /bnpl-tijori/v2/deviceAuth/fetch/PZT2604062018HXE1B00] [dw-234 - POST /bnpl-tijori/v2/deviceAuth/fetch/PZT2604062018HXE1B00] [REQ260406201803123125255846956294786762487835481281649348467] [#033[36mShardKeyRequestFilter#033[0;39m]: ShardKeyRequestFilter: path=v2/deviceAuth/fetch/PZT2604062018HXE1B00, X-User-Id header=[REDACTED_ACCOUNT] "
,KafkaAppLogs," INFO  [2026-04-06 20:18:02,363] [dw-193 - POST /bnpl-tijori/v1/dbutil/creditLine/create] [dw-193 - POST /bnpl-tijori/v1/dbutil/creditLine/create] [REQ260406201802212931365183913913546133692767262662755277688] [#033[36mCreditLineServiceImpl#033[0;39m]: Sending bigfoot self event for creditLineId : LOAN260406201802363329798585746579847286 "
,KafkaAppLogs," INFO  [2026-04-06 20:50:45,252] [dw-174 - POST /bnpl-tijori/v2/sale/refund] [dw-174 - POST /bnpl-tijori/v2/sale/refund] [REQ260406205045642266312591121687535413999173134168114286866] [#033[36mTransactionResource#033[0;39m]: refund sale request for userId - [REDACTED_ACCOUNT] is RefundSaleTxnRequest(saleTxnId=KNOX260406204615599368418562388589979396, saleMerchantTxnId=null, merchantTxnId=PZT2604062044CFEMK03, refundAmt=718.00, migratedLoanAccountId=null) "
